panel,row_label,col_label,corr
A,mkt_cap_ratio,mkt_cap_ratio,1.0
A,mkt_cap_ratio,book_cap_ratio,
A,mkt_cap_ratio,aem_leverage,
A,book_cap_ratio,mkt_cap_ratio,0.27624950524795827
A,book_cap_ratio,book_cap_ratio,1.0
A,book_cap_ratio,aem_leverage,
A,aem_leverage,mkt_cap_ratio,0.5176128372225417
A,aem_leverage,book_cap_ratio,0.5313717381380831
A,aem_leverage,aem_leverage,1.0
A,ep_q,mkt_cap_ratio,-0.694555392463664
A,ep_q,book_cap_ratio,-0.5754055176674759
A,ep_q,aem_leverage,-0.6795789521938428
A,unemp_q,mkt_cap_ratio,-0.6386800347968589
A,unemp_q,book_cap_ratio,0.14467677315703936
A,unemp_q,aem_leverage,-0.41669388679270525
A,gdp_q,mkt_cap_ratio,0.3459400584728202
A,gdp_q,book_cap_ratio,0.811029270869825
A,gdp_q,aem_leverage,0.8369684853175849
A,nfci_q,mkt_cap_ratio,-0.4139028472352936
A,nfci_q,book_cap_ratio,-0.398043132474016
A,nfci_q,aem_leverage,-0.45312335692866773
A,mkt_vol_q,mkt_cap_ratio,-0.004383035546419556
A,mkt_vol_q,book_cap_ratio,0.15842492065818264
A,mkt_vol_q,aem_leverage,0.14768469032069087
B,market_capital_factor,market_capital_factor,1.0
B,market_capital_factor,book_capital_factor,
B,market_capital_factor,aem_factor,
B,book_capital_factor,market_capital_factor,0.22009575578170978
B,book_capital_factor,book_capital_factor,1.0
B,book_capital_factor,aem_factor,
B,aem_factor,market_capital_factor,-0.0021249447702678215
B,aem_factor,book_capital_factor,-0.2660211052686678
B,aem_factor,aem_factor,1.0
B,mkt_xret_q,market_capital_factor,0.8235200444113666
B,mkt_xret_q,book_capital_factor,0.0730502851149387
B,mkt_xret_q,aem_factor,0.038716190942802715
B,ep_growth_q,market_capital_factor,-0.6134029506733374
B,ep_growth_q,book_capital_factor,-0.20882750586030296
B,ep_growth_q,aem_factor,-0.008541640451929863
B,unemp_growth_q,market_capital_factor,0.009464274021819973
B,unemp_growth_q,book_capital_factor,0.19861220641955044
B,unemp_growth_q,aem_factor,-0.03878524007957016
B,gdp_growth_q,market_capital_factor,0.07497342926119675
B,gdp_growth_q,book_capital_factor,-0.09207851962050803
B,gdp_growth_q,aem_factor,0.01966191052754965
B,nfci_growth_q,market_capital_factor,-0.358891776662231
B,nfci_growth_q,book_capital_factor,-0.23738237105773294
B,nfci_growth_q,aem_factor,-0.045213475376502305
B,mkt_vol_growth_q,market_capital_factor,-0.47446950969630003
B,mkt_vol_growth_q,book_capital_factor,-0.07596839194730227
B,mkt_vol_growth_q,aem_factor,-0.19024019725449692
