cusip,security_type,security_term,original_security_term,dated_date,maturity_date,int_rate,callable,original_issue_date,issue_date,auction_date
9128274M1,Note,2-Year,2-Year,1998-07-31,2000-07-31,5.375,No,1998-07-31,1998-07-31,1998-07-29
9128274N9,Note,5-Year,5-Year,1998-08-15,2003-08-15,5.25,No,1998-08-17,1998-08-17,1998-08-11
9128274Q2,Note,2-Year,2-Year,1998-08-31,2000-08-31,5.125,No,1998-08-31,1998-08-31,1998-08-26
9128274R0,Note,2-Year,2-Year,1998-09-30,2000-09-30,4.5,No,1998-09-30,1998-09-30,1998-09-23
9128274T6,Note,2-Year,2-Year,1998-10-31,2000-10-31,4.0,No,1998-11-02,1998-11-02,1998-10-28
9128274U3,Note,5-Year,5-Year,1998-11-15,2003-11-15,4.25,No,1998-11-16,1998-11-16,1998-11-03
9128274V1,Note,10-Year,10-Year,1998-11-15,2008-11-15,4.75,No,1998-11-16,1998-11-16,1998-11-04
9128274W9,Note,2-Year,2-Year,1998-11-30,2000-11-30,4.625,No,1998-11-30,1998-11-30,1998-11-24
9128274X7,Note,2-Year,2-Year,1998-12-31,2000-12-31,4.625,No,1998-12-31,1998-12-31,1998-12-29
9128274Z2,Note,2-Year,2-Year,1999-01-31,2001-01-31,4.5,No,1999-02-01,1999-02-01,1999-01-27
9128275A6,Note,5-Year,5-Year,1999-02-15,2004-02-15,4.75,No,1999-02-16,1999-02-16,1999-02-09
9128275C2,Note,2-Year,2-Year,1999-02-28,2001-02-28,5.0,No,1999-03-01,1999-03-01,1999-02-24
9128275D0,Note,2-Year,2-Year,1999-03-31,2001-03-31,4.875,No,1999-03-31,1999-03-31,1999-03-24
9128275E8,Note,2-Year,2-Year,1999-04-30,2001-04-30,5.0,No,1999-04-30,1999-04-30,1999-04-28
9128275F5,Note,5-Year,5-Year,1999-05-15,2004-05-15,5.25,No,1999-05-17,1999-05-17,1999-05-11
9128275G3,Note,10-Year,10-Year,1999-05-15,2009-05-15,5.5,No,1999-05-17,1999-05-17,1999-05-12
9128275H1,Note,2-Year,2-Year,1999-05-31,2001-05-31,5.25,No,1999-06-01,1999-06-01,1999-05-26
9128275J7,Note,2-Year,2-Year,1999-06-30,2001-06-30,5.75,No,1999-06-30,1999-06-30,1999-06-23
9128275L2,Note,2-Year,2-Year,1999-07-31,2001-07-31,5.5,No,1999-08-02,1999-08-02,1999-07-28
9128275M0,Note,5-Year,5-Year,1999-08-15,2004-08-15,6.0,No,1999-08-16,1999-08-16,1999-08-10
9128275N8,Note,10-Year,10-Year,1999-08-15,2009-08-15,6.0,No,1999-08-16,1999-08-16,1999-08-11
9128275P3,Note,2-Year,2-Year,1999-08-31,2001-08-31,5.5,No,1999-08-31,1999-08-31,1999-08-25
9128275Q1,Note,2-Year,2-Year,1999-09-30,2001-09-30,5.625,No,1999-09-30,1999-09-30,1999-09-29
9128275R9,Note,2-Year,2-Year,1999-10-31,2001-10-31,5.875,No,1999-11-01,1999-11-01,1999-10-27
9128275S7,Note,5-Year,5-Year,1999-11-15,2004-11-15,5.875,No,1999-11-15,1999-11-15,1999-11-09
9128275X6,Note,2-Year,2-Year,2000-01-31,2002-01-31,6.375,No,2000-01-31,2000-01-31,2000-01-26
9128275Z1,Note,10-Year,10-Year,2000-02-15,2010-02-15,6.5,No,2000-02-15,2000-02-15,2000-02-09
9128276A5,Note,2-Year,2-Year,2000-02-29,2002-02-28,6.5,No,2000-02-29,2000-02-29,2000-02-23
9128276B3,Note,2-Year,2-Year,2000-03-31,2002-03-31,6.5,No,2000-03-31,2000-03-31,2000-03-29
9128276C1,Note,2-Year,2-Year,2000-04-30,2002-04-30,6.375,No,2000-05-01,2000-05-01,2000-04-26
9128276D9,Note,5-Year,5-Year,2000-05-15,2005-05-15,6.75,No,2000-05-15,2000-05-15,2000-05-09
9128276E7,Note,2-Year,2-Year,2000-05-31,2002-05-31,6.625,No,2000-05-31,2000-05-31,2000-05-24
9128276F4,Note,2-Year,2-Year,2000-06-30,2002-06-30,6.375,No,2000-06-30,2000-06-30,2000-06-28
9128276H0,Note,2-Year,2-Year,2000-07-31,2002-07-31,6.25,No,2000-07-31,2000-07-31,2000-07-26
9128276J6,Note,10-Year,10-Year,2000-08-15,2010-08-15,5.75,No,2000-08-15,2000-08-15,2000-08-09
9128276K3,Note,2-Year,2-Year,2000-08-31,2002-08-31,6.125,No,2000-08-31,2000-08-31,2000-08-23
9128276L1,Note,2-Year,2-Year,2000-09-30,2002-09-30,6.0,No,2000-10-02,2000-10-02,2000-09-27
9128276N7,Note,5-Year,5-Year,2000-11-15,2005-11-15,5.75,No,2000-11-15,2000-11-15,2000-11-07
9128276P2,Note,2-Year,2-Year,2000-11-30,2002-11-30,5.625,No,2000-11-30,2000-11-30,2000-11-29
9128276Q0,Note,2-Year,2-Year,2000-12-31,2002-12-31,5.125,No,2001-01-02,2001-01-02,2000-12-27
9128276S6,Note,2-Year,2-Year,2001-01-31,2003-01-31,4.75,No,2001-01-31,2001-01-31,2001-01-24
9128276T4,Note,10-Year,10-Year,2001-02-15,2011-02-15,5.0,No,2001-02-15,2001-02-15,2001-02-07
9128276U1,Note,2-Year,2-Year,2001-02-28,2003-02-28,4.625,No,2001-02-28,2001-02-28,2001-02-21
9128276V9,Note,2-Year,2-Year,2001-03-31,2003-03-31,4.25,No,2001-04-02,2001-04-02,2001-03-28
9128276W7,Note,2-Year,2-Year,2001-04-30,2003-04-30,4.0,No,2001-04-30,2001-04-30,2001-04-25
9128276X5,Note,5-Year,5-Year,2001-05-15,2006-05-15,4.625,No,2001-05-15,2001-05-15,2001-05-08
9128276Y3,Note,2-Year,2-Year,2001-05-31,2003-05-31,4.25,No,2001-05-31,2001-05-31,2001-05-30
9128276Z0,Note,2-Year,2-Year,2001-06-30,2003-06-30,3.875,No,2001-07-02,2001-07-02,2001-06-27
9128277A4,Note,2-Year,2-Year,2001-07-31,2003-07-31,3.875,No,2001-07-31,2001-07-31,2001-07-25
9128277B2,Note,10-Year,10-Year,2001-08-15,2011-08-15,5.0,No,2001-08-15,2001-08-15,2001-08-08
9128277C0,Note,2-Year,2-Year,2001-08-31,2003-08-31,3.625,No,2001-08-31,2001-08-31,2001-08-29
9128277D8,Note,2-Year,2-Year,2001-09-30,2003-09-30,2.75,No,2001-10-01,2001-10-01,2001-09-26
9128277E6,Note,2-Year,2-Year,2001-10-31,2003-10-31,2.75,No,2001-10-31,2001-10-31,2001-10-24
9128277F3,Note,5-Year,5-Year,2001-11-15,2006-11-15,3.5,No,2001-11-15,2001-11-15,2001-11-06
9128277G1,Note,2-Year,2-Year,2001-11-30,2003-11-30,3.0,No,2001-11-30,2001-11-30,2001-11-28
9128277H9,Note,2-Year,2-Year,2001-12-31,2003-12-31,3.25,No,2001-12-31,2001-12-31,2001-12-27
9128277K2,Note,2-Year,2-Year,2002-01-31,2004-01-31,3.0,No,2002-01-31,2002-01-31,2002-01-23
9128277L0,Note,10-Year,10-Year,2002-02-15,2012-02-15,4.875,No,2002-02-15,2002-02-15,2002-02-06
9128277M8,Note,2-Year,2-Year,2002-02-28,2004-02-29,3.0,No,2002-02-28,2002-02-28,2002-02-27
912827A28,Note,2-Year,2-Year,1991-04-01,1993-03-31,7.125,No,1991-04-01,1991-04-01,1991-03-26
912827A36,Note,5-Year,5-Year,1991-04-01,1996-03-31,7.75,No,1991-04-01,1991-04-01,1991-03-27
912827A44,Note,7-Year,7-Year,1991-04-15,1998-04-15,7.875,No,1991-04-15,1991-04-15,1991-04-10
912827A51,Note,2-Year,2-Year,1991-04-30,1993-04-30,7.0,No,1991-04-30,1991-04-30,1991-04-24
912827A69,Note,5-Year,5-Year,1991-04-30,1996-04-30,7.625,No,1991-04-30,1991-04-30,1991-04-25
912827A77,Note,3-Year,3-Year,1991-05-15,1994-05-15,7.0,No,1991-05-15,1991-05-15,1991-05-07
912827A85,Note,10-Year,10-Year,1991-05-15,2001-05-15,8.0,No,1991-05-15,1991-05-15,1991-05-08
912827A93,Note,2-Year,2-Year,1991-05-31,1993-05-31,6.75,No,1991-05-31,1991-05-31,1991-05-22
912827B27,Note,5-Year,5-Year,1991-05-31,1996-05-31,7.625,No,1991-05-31,1991-05-31,1991-05-23
912827B35,Note,2-Year,2-Year,1991-07-01,1993-06-30,7.0,No,1991-07-01,1991-07-01,1991-06-25
912827B43,Note,5-Year,5-Year,1991-07-01,1996-06-30,7.875,No,1991-07-01,1991-07-01,1991-06-26
912827B50,Note,7-Year,7-Year,1991-07-15,1998-07-15,8.25,No,1991-07-15,1991-07-15,1991-07-10
912827B68,Note,2-Year,2-Year,1991-07-31,1993-07-31,6.875,No,1991-07-31,1991-07-31,1991-07-23
912827B76,Note,5-Year,5-Year,1991-07-31,1996-07-31,7.875,No,1991-07-31,1991-07-31,1991-07-24
912827B84,Note,3-Year,3-Year,1991-08-15,1994-08-15,6.875,No,1991-08-15,1991-08-15,1991-08-06
912827B92,Note,10-Year,10-Year,1991-08-15,2001-08-15,7.875,No,1991-08-15,1991-08-15,1991-08-07
912827C26,Note,2-Year,2-Year,1991-09-03,1993-08-31,6.375,No,1991-09-03,1991-09-03,1991-08-27
912827C34,Note,5-Year,5-Year,1991-09-03,1996-08-31,7.25,No,1991-09-03,1991-09-03,1991-08-28
912827C42,Note,2-Year,2-Year,1991-09-30,1993-09-30,6.125,No,1991-09-30,1991-09-30,1991-09-24
912827C59,Note,5-Year,5-Year,1991-09-30,1996-09-30,7.0,No,1991-09-30,1991-09-30,1991-09-25
912827C67,Note,7-Year,7-Year,1991-10-15,1998-10-15,7.125,No,1991-10-15,1991-10-15,1991-10-09
912827C75,Note,2-Year,2-Year,1991-10-31,1993-10-31,6.0,No,1991-10-31,1991-10-31,1991-10-23
912827C83,Note,5-Year,5-Year,1991-10-31,1996-10-31,6.875,No,1991-10-31,1991-10-31,1991-10-24
912827C91,Note,3-Year,3-Year,1991-11-15,1994-11-15,6.0,No,1991-11-15,1991-11-15,1991-11-05
912827D25,Note,10-Year,10-Year,1991-11-15,2001-11-15,7.5,No,1991-11-15,1991-11-15,1991-11-06
912827D33,Note,2-Year,2-Year,1991-12-02,1993-11-30,5.5,No,1991-12-02,1991-12-02,1991-11-25
912827D41,Note,5-Year,5-Year,1991-12-02,1996-11-30,6.5,No,1991-12-02,1991-12-02,1991-11-26
912827D58,Note,2-Year,2-Year,1991-12-31,1993-12-31,5.0,No,1991-12-31,1991-12-31,1991-12-18
912827D66,Note,5-Year,5-Year,1991-12-31,1996-12-31,6.125,No,1991-12-31,1991-12-31,1991-12-19
912827D74,Note,7-Year,7-Year,1992-01-15,1999-01-15,6.375,No,1992-01-15,1992-01-15,1992-01-08
912827D82,Note,2-Year,2-Year,1992-01-31,1994-01-31,4.875,No,1992-01-31,1992-01-31,1992-01-22
912827D90,Note,5-Year,5-Year,1992-01-31,1997-01-31,6.25,No,1992-01-31,1992-01-31,1992-01-23
912827E24,Note,3-Year,3-Year,1992-02-18,1995-02-15,5.5,No,1992-02-18,1992-02-18,1992-02-11
912827E40,Note,2-Year,2-Year,1992-03-02,1994-02-28,5.375,No,1992-03-02,1992-03-02,1992-02-25
912827E57,Note,5-Year,5-Year,1992-03-02,1997-02-28,6.75,No,1992-03-02,1992-03-02,1992-02-26
912827E65,Note,2-Year,2-Year,1992-03-31,1994-03-31,5.75,No,1992-03-31,1992-03-31,1992-03-24
912827E73,Note,5-Year,5-Year,1992-03-31,1997-03-31,6.875,No,1992-03-31,1992-03-31,1992-03-25
912827E81,Note,7-Year,7-Year,1992-04-15,1999-04-15,7.0,No,1992-04-15,1992-04-15,1992-04-08
912827E99,Note,2-Year,2-Year,1992-04-30,1994-04-30,5.375,No,1992-04-30,1992-04-30,1992-04-22
912827F23,Note,5-Year,5-Year,1992-04-30,1997-04-30,6.875,No,1992-04-30,1992-04-30,1992-04-23
912827F31,Note,3-Year,3-Year,1992-05-15,1995-05-15,5.875,No,1992-05-15,1992-05-15,1992-05-05
912827F49,Note,10-Year,10-Year,1992-05-15,2002-05-15,7.5,No,1992-05-15,1992-05-15,1992-05-06
912827F56,Note,2-Year,2-Year,1992-06-01,1994-05-31,5.125,No,1992-06-01,1992-06-01,1992-05-20
912827F64,Note,5-Year,5-Year,1992-06-01,1997-05-31,6.75,No,1992-06-01,1992-06-01,1992-05-21
912827F72,Note,2-Year,2-Year,1992-06-30,1994-06-30,5.0,No,1992-06-30,1992-06-30,1992-06-23
912827F80,Note,5-Year,5-Year,1992-06-30,1997-06-30,6.375,No,1992-06-30,1992-06-30,1992-06-24
912827F98,Note,7-Year,7-Year,1992-07-15,1999-07-15,6.375,No,1992-07-15,1992-07-15,1992-07-08
912827G22,Note,2-Year,2-Year,1992-07-31,1994-07-31,4.25,No,1992-07-31,1992-07-31,1992-07-28
912827G30,Note,5-Year,5-Year,1992-07-31,1997-07-31,5.5,No,1992-07-31,1992-07-31,1992-07-29
912827G48,Note,3-Year,3-Year,1992-08-17,1995-08-15,4.625,No,1992-08-17,1992-08-17,1992-08-11
912827G55,Note,10-Year,10-Year,1992-08-15,2002-08-15,6.375,No,1992-08-17,1992-08-17,1992-08-12
912827G63,Note,2-Year,2-Year,1992-08-31,1994-08-31,4.25,No,1992-08-31,1992-08-31,1992-08-25
912827G71,Note,5-Year,5-Year,1992-08-31,1997-08-31,5.625,No,1992-08-31,1992-08-31,1992-08-26
912827G89,Note,2-Year,2-Year,1992-09-30,1994-09-30,4.0,No,1992-09-30,1992-09-30,1992-09-22
912827G97,Note,5-Year,5-Year,1992-09-30,1997-09-30,5.5,No,1992-09-30,1992-09-30,1992-09-23
912827H21,Note,7-Year,7-Year,1992-10-15,1999-10-15,6.0,No,1992-10-15,1992-10-15,1992-10-07
912827H39,Note,2-Year,2-Year,1992-11-02,1994-10-31,4.25,No,1992-11-02,1992-11-02,1992-10-27
912827H47,Note,5-Year,5-Year,1992-11-02,1997-10-31,5.75,No,1992-11-02,1992-11-02,1992-10-28
912827H54,Note,3-Year,3-Year,1992-11-16,1995-11-15,5.125,No,1992-11-16,1992-11-16,1992-11-09
912827H70,Note,2-Year,2-Year,1992-11-30,1994-11-30,4.625,No,1992-11-30,1992-11-30,1992-11-23
912827H88,Note,5-Year,5-Year,1992-11-30,1997-11-30,6.0,No,1992-11-30,1992-11-30,1992-11-24
912827H96,Note,2-Year,2-Year,1992-12-31,1994-12-31,4.625,No,1992-12-31,1992-12-31,1992-12-22
912827J29,Note,5-Year,5-Year,1992-12-31,1997-12-31,6.0,No,1992-12-31,1992-12-31,1992-12-23
912827J37,Note,7-Year,7-Year,1993-01-15,2000-01-15,6.375,No,1993-01-15,1993-01-15,1993-01-13
912827J45,Note,5-Year,5-Year,1993-02-01,1998-01-31,5.625,No,1993-02-01,1993-02-01,1993-01-27
912827J52,Note,2-Year,2-Year,1993-02-01,1995-01-31,4.25,No,1993-02-01,1993-02-01,1993-01-26
912827J60,Note,3-Year,3-Year,1993-02-16,1996-02-15,4.625,No,1993-02-16,1993-02-16,1993-02-09
912827J78,Note,10-Year,10-Year,1993-02-15,2003-02-15,6.25,No,1993-02-16,1993-02-16,1993-02-10
912827J86,Note,2-Year,2-Year,1993-03-01,1995-02-28,3.875,No,1993-03-01,1993-03-01,1993-02-23
912827J94,Note,5-Year,5-Year,1993-03-01,1998-02-28,5.125,No,1993-03-01,1993-03-01,1993-02-24
912827K27,Note,2-Year,2-Year,1993-03-31,1995-03-31,3.875,No,1993-03-31,1993-03-31,1993-03-24
912827K35,Note,5-Year,5-Year,1993-03-31,1998-03-31,5.125,No,1993-03-31,1993-03-31,1993-03-25
912827K43,Note,7-Year,7-Year,1993-04-15,2000-04-15,5.5,No,1993-04-15,1993-04-15,1993-04-13
912827K50,Note,2-Year,2-Year,1993-04-30,1995-04-30,3.875,No,1993-04-30,1993-04-30,1993-04-27
912827K68,Note,5-Year,5-Year,1993-04-30,1998-04-30,5.125,No,1993-04-30,1993-04-30,1993-04-28
912827K76,Note,3-Year,3-Year,1993-05-17,1996-05-15,4.25,No,1993-05-17,1993-05-17,1993-05-11
912827K92,Note,2-Year,2-Year,1993-06-01,1995-05-31,4.125,No,1993-06-01,1993-06-01,1993-05-25
912827KC5,Note,10-Year,10-Year,1979-11-15,1989-11-15,10.75,No,1979-11-15,1979-11-15,1979-10-31
912827KH4,Note,2-Year,2-Year,1980-01-31,1982-01-31,11.5,No,1980-01-31,1980-01-31,1980-01-23
912827KJ0,Note,3-Year 6-Month,3-Year 6-Month,1980-02-15,1983-08-15,11.875,No,1980-02-15,1980-02-15,1980-02-05
912827KK7,Note,7-Year 3-Month,7-Year 3-Month,1980-02-15,1987-05-15,12.0,No,1980-02-15,1980-02-15,1980-02-06
912827KL5,Note,2-Year,2-Year,1980-02-29,1982-02-28,13.875,No,1980-02-29,1980-02-29,1980-02-20
912827KM3,Note,5-Year 2-Month,5-Year 2-Month,1980-03-03,1985-05-15,14.375,No,1980-03-03,1980-03-03,1980-02-26
912827KN1,Note,2-Year,2-Year,1980-03-31,1982-03-31,15.0,No,1980-03-31,1980-03-31,1980-03-20
912827KP6,Note,4-Year,4-Year,1980-03-31,1984-03-31,14.25,No,1980-03-31,1980-03-31,1980-03-25
912827KQ4,Note,2-Year,2-Year,1980-04-30,1982-04-30,11.375,No,1980-04-30,1980-04-30,1980-04-22
912827KR2,Note,3-Year 3-Month,3-Year 3-Month,1980-05-15,1983-08-15,9.25,No,1980-05-15,1980-05-15,1980-05-06
912827KS0,Note,2-Year,2-Year,1980-06-04,1982-05-31,9.375,No,1980-06-04,1980-06-04,1980-06-02
912827KT8,Note,5-Year 2-Month,5-Year 2-Month,1980-06-05,1985-08-15,9.625,No,1980-06-05,1980-06-05,1980-06-03
912827KU5,Note,2-Year,2-Year,1980-06-30,1982-06-30,8.625,No,1980-06-30,1980-06-30,1980-06-19
912827KV3,Note,4-Year,4-Year,1980-06-30,1984-06-30,8.875,No,1980-06-30,1980-06-30,1980-06-24
912827KW1,Note,2-Year,2-Year,1980-07-31,1982-07-31,8.875,No,1980-07-31,1980-07-31,1980-07-23
912827KX9,Note,3-Year 3-Month,3-Year 3-Month,1980-08-15,1983-11-15,9.875,No,1980-08-15,1980-08-15,1980-08-05
912827KY7,Note,10-Year,10-Year,1980-08-15,1990-08-15,10.75,No,1980-08-15,1980-08-15,1980-08-06
912827KZ4,Note,2-Year,2-Year,1980-09-02,1982-08-31,11.125,No,1980-09-02,1980-09-02,1980-08-20
912827L26,Note,5-Year,5-Year,1993-06-01,1998-05-31,5.375,No,1993-06-01,1993-06-01,1993-05-26
912827L34,Note,2-Year,2-Year,1993-06-30,1995-06-30,4.125,No,1993-06-30,1993-06-30,1993-06-22
912827L42,Note,5-Year,5-Year,1993-06-30,1998-06-30,5.125,No,1993-06-30,1993-06-30,1993-06-23
912827L59,Note,2-Year,2-Year,1993-08-02,1995-07-31,4.25,No,1993-08-02,1993-08-02,1993-07-27
912827L67,Note,5-Year,5-Year,1993-08-02,1998-07-31,5.25,No,1993-08-02,1993-08-02,1993-07-28
912827L75,Note,3-Year,3-Year,1993-08-16,1996-08-15,4.375,No,1993-08-16,1993-08-16,1993-08-10
912827L83,Note,10-Year,10-Year,1993-08-15,2003-08-15,5.75,No,1993-08-15,1993-08-16,1993-08-11
912827L91,Note,2-Year,2-Year,1993-08-31,1995-08-31,3.875,No,1993-08-31,1993-08-31,1993-08-24
912827LA8,Note,5-Year 2-Month,5-Year 2-Month,1980-09-03,1985-11-15,11.75,No,1980-09-03,1980-09-03,1980-08-27
912827LB6,Note,2-Year,2-Year,1980-09-30,1982-09-30,11.875,No,1980-09-30,1980-09-30,1980-09-18
912827LC4,Note,4-Year,4-Year,1980-09-30,1984-09-30,12.125,No,1980-09-30,1980-09-30,1980-09-23
912827LD2,Note,2-Year,2-Year,1980-10-31,1982-10-31,12.125,No,1980-10-31,1980-10-31,1980-10-22
912827LE0,Note,3-Year 6-Month,3-Year 6-Month,1980-11-17,1984-05-15,13.25,No,1980-11-17,1980-11-17,1980-11-05
912827LF7,Note,10-Year,10-Year,1980-11-17,1990-11-15,13.0,No,1980-11-17,1980-11-17,1980-11-06
912827LG5,Note,2-Year,2-Year,1980-12-01,1982-11-30,13.875,No,1980-12-01,1980-12-01,1980-11-25
912827LH3,Note,5-Year 2-Month,5-Year 2-Month,1980-12-08,1986-02-15,13.5,No,1980-12-08,1980-12-08,1980-12-03
912827LJ9,Note,2-Year,2-Year,1980-12-31,1982-12-31,15.125,No,1980-12-31,1980-12-31,1980-12-16
912827LK6,Note,4-Year,4-Year,1980-12-31,1984-12-31,14.0,No,1980-12-31,1980-12-31,1980-12-18
912827LL4,Note,7-Year,7-Year,1981-01-05,1988-01-15,12.375,No,1981-01-05,1981-01-05,1980-12-30
912827LM2,Note,2-Year,2-Year,1981-02-02,1983-01-31,13.625,No,1981-02-02,1981-02-02,1981-01-21
912827LN0,Note,3-Year 6-Month,3-Year 6-Month,1981-02-17,1984-08-15,13.25,No,1981-02-17,1981-02-17,1981-02-03
912827LP5,Note,2-Year,2-Year,1981-03-02,1983-02-28,13.875,No,1981-03-02,1981-03-02,1981-02-24
912827LQ3,Note,5-Year 2-Month,5-Year 2-Month,1981-03-04,1986-05-15,13.75,No,1981-03-04,1981-03-04,1981-02-26
912827LR1,Note,2-Year,2-Year,1981-03-31,1983-03-31,12.625,No,1981-03-31,1981-03-31,1981-03-18
912827LS9,Note,4-Year,4-Year,1981-03-31,1985-03-31,13.375,No,1981-03-31,1981-03-31,1981-03-24
912827LT7,Note,7-Year,7-Year,1981-04-06,1988-04-15,13.25,No,1981-04-06,1981-04-06,1981-03-31
912827LU4,Note,2-Year,2-Year,1981-04-30,1983-04-30,14.5,No,1981-04-30,1981-04-30,1981-04-22
912827LV2,Note,3-Year,3-Year,1981-05-15,1984-05-15,15.75,No,1981-05-15,1981-05-15,1981-05-05
912827LW0,Note,10-Year,10-Year,1981-05-15,1991-05-15,14.5,No,1981-05-15,1981-05-15,1981-05-06
912827LX8,Note,2-Year,2-Year,1981-06-01,1983-05-31,15.625,No,1981-06-01,1981-06-01,1981-05-20
912827LY6,Note,5-Year 5-Month,5-Year 5-Month,1981-06-03,1986-11-15,13.875,No,1981-06-03,1981-06-03,1981-05-28
912827LZ3,Note,2-Year,2-Year,1981-06-30,1983-06-30,14.625,No,1981-06-30,1981-06-30,1981-06-18
912827M25,Note,5-Year,5-Year,1993-08-31,1998-08-31,4.75,No,1993-08-31,1993-08-31,1993-08-25
912827M33,Note,2-Year,2-Year,1993-09-30,1995-09-30,3.875,No,1993-09-30,1993-09-30,1993-09-21
912827M41,Note,5-Year,5-Year,1993-09-30,1998-09-30,4.75,No,1993-09-30,1993-09-30,1993-09-22
912827M58,Note,2-Year,2-Year,1993-11-01,1995-10-31,3.875,No,1993-11-01,1993-11-01,1993-10-26
912827M66,Note,5-Year,5-Year,1993-11-01,1998-10-31,4.75,No,1993-11-01,1993-11-01,1993-10-27
912827M74,Note,3-Year,3-Year,1993-11-15,1996-11-15,4.375,No,1993-11-15,1993-11-15,1993-11-09
912827M90,Note,2-Year,2-Year,1993-11-30,1995-11-30,4.25,No,1993-11-30,1993-11-30,1993-11-22
912827MA7,Note,4-Year,4-Year,1981-06-30,1985-06-30,14.0,No,1981-06-30,1981-06-30,1981-06-23
912827MB5,Note,7-Year,7-Year,1981-07-07,1988-07-15,14.0,No,1981-07-07,1981-07-07,1981-06-30
912827MC3,Note,2-Year,2-Year,1981-07-31,1983-07-31,15.875,No,1981-07-31,1981-07-31,1981-07-22
912827MD1,Note,3-Year 3-Month,3-Year 3-Month,1981-08-17,1984-11-15,16.0,No,1981-08-17,1981-08-17,1981-08-04
912827ME9,Note,10-Year,10-Year,1981-08-17,1991-08-15,14.875,No,1981-08-17,1981-08-17,1981-08-05
912827MF6,Note,2-Year,2-Year,1981-08-31,1983-08-31,16.25,No,1981-08-31,1981-08-31,1981-08-20
912827MG4,Note,5-Year 2-Month,5-Year 2-Month,1981-09-08,1986-11-15,16.125,No,1981-09-08,1981-09-08,1981-08-27
912827MH2,Note,2-Year,2-Year,1981-09-30,1983-09-30,16.0,No,1981-09-30,1981-09-30,1981-09-16
912827MJ8,Note,4-Year,4-Year,1981-09-30,1985-09-30,15.875,No,1981-09-30,1981-09-30,1981-09-23
912827MK5,Note,7-Year,7-Year,1981-10-14,1988-10-15,15.375,No,1981-10-14,1981-10-14,1981-10-07
912827ML3,Note,2-Year,2-Year,1981-11-02,1983-10-31,15.5,No,1981-11-02,1981-11-02,1981-10-21
912827MM1,Note,3-Year,3-Year,1981-11-16,1984-11-15,14.375,No,1981-11-16,1981-11-16,1981-11-02
912827MN9,Note,10-Year,10-Year,1981-11-16,1991-11-15,14.25,No,1981-11-16,1981-11-16,1981-11-04
912827MP4,Note,2-Year,2-Year,1981-11-30,1983-11-30,12.125,No,1981-11-30,1981-11-30,1981-11-18
912827MQ2,Note,5-Year 2-Month,5-Year 2-Month,1981-12-02,1987-02-15,12.75,No,1981-12-02,1981-12-02,1981-11-24
912827MR0,Note,2-Year,2-Year,1981-12-31,1983-12-31,13.0,No,1981-12-31,1981-12-31,1981-12-16
912827MS8,Note,4-Year,4-Year,1981-12-31,1985-12-31,14.125,No,1981-12-31,1981-12-31,1981-12-22
912827MT6,Note,7-Year,7-Year,1982-01-13,1989-01-15,14.625,No,1982-01-13,1982-01-13,1982-01-06
912827MU3,Note,2-Year,2-Year,1982-02-01,1984-01-31,15.0,No,1982-02-01,1982-02-01,1982-01-20
912827MV1,Note,3-Year,3-Year,1982-02-16,1985-02-15,14.625,No,1982-02-16,1982-02-16,1982-02-02
912827MW9,Note,10-Year,10-Year,1982-02-16,1992-02-15,14.625,No,1982-02-16,1982-02-16,1982-02-03
912827MX7,Note,2-Year,2-Year,1982-03-01,1984-02-29,15.125,No,1982-03-01,1982-03-01,1982-02-17
912827MY5,Note,5-Year 2-Month,5-Year 2-Month,1982-03-03,1987-05-15,14.0,No,1982-03-03,1982-03-03,1982-02-24
912827MZ2,Note,2-Year,2-Year,1982-03-31,1984-03-31,14.125,No,1982-03-31,1982-03-31,1982-03-17
912827N24,Note,5-Year,5-Year,1993-11-30,1998-11-30,5.125,No,1993-11-30,1993-11-30,1993-11-23
912827N32,Note,2-Year,2-Year,1993-12-31,1995-12-31,4.25,No,1993-12-31,1993-12-31,1993-12-21
912827N40,Note,5-Year,5-Year,1993-12-31,1998-12-31,5.125,No,1993-12-31,1993-12-31,1993-12-22
912827N57,Note,2-Year,2-Year,1994-01-31,1996-01-31,4.0,No,1994-01-31,1994-01-31,1994-01-25
912827N65,Note,5-Year,5-Year,1994-01-31,1999-01-31,5.0,No,1994-01-31,1994-01-31,1994-01-26
912827N73,Note,3-Year,3-Year,1994-02-15,1997-02-15,4.75,No,1994-02-15,1994-02-15,1994-02-08
912827N81,Note,10-Year,10-Year,1994-02-15,2004-02-15,5.875,No,1994-02-15,1994-02-15,1994-02-09
912827N99,Note,2-Year,2-Year,1994-02-28,1996-02-29,4.625,No,1994-02-28,1994-02-28,1994-02-23
912827NA6,Note,4-Year,4-Year,1982-03-31,1986-03-31,14.0,No,1982-03-31,1982-03-31,1982-03-24
912827NB4,Note,7-Year,7-Year,1982-04-07,1989-04-15,14.375,No,1982-04-07,1982-04-07,1982-03-31
912827NC2,Note,2-Year,2-Year,1982-04-30,1984-04-30,13.875,No,1982-04-30,1982-04-30,1982-04-21
912827ND0,Note,3-Year,3-Year,1982-05-17,1985-05-15,14.125,No,1982-05-17,1982-05-17,1982-05-04
912827NE8,Note,10-Year,10-Year,1982-05-17,1992-05-15,13.75,No,1982-05-17,1982-05-17,1982-05-05
912827NF5,Note,2-Year,2-Year,1982-06-01,1984-05-31,13.75,No,1982-06-01,1982-06-01,1982-05-19
